Slime ID, Wave Number, Fitness Pool, Min Path Distance To Sheep, Total Path Distance,Sheep Distance Fitness, Alive Time Fitness, Percentage Of Path Completed Fitness, Average Lifetime Fitness,Parent One, Parent Two, Main Type, Secondary Type,Main Resistance Gene, Main Resistance Trait, Secondary Resistance Gene, Secondary Resistance Trait, Tower Attraction Gene, Tower Attraction Trait, Slime Optimal Distance Gene, Slime Optimal Distance Trait, Speed Gene, Speed Trait, Turn Rate Gene, Turn Rate Trait, Time Alive After Increased Alignment Strength,
0, 0, 0, 40.91522, 40.91522, 1192.884, 3.402823E+38, 0, 21.31476, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.7580522,2.309558,3.663325,2.371557,-0.5250084,2.273154,-1.064717,0.2785297,0,
1, 0, 0, 42.18223, 42.18223, 1157.884, 3.402823E+38, 0, 20.2363, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.286688,2.238342,0.4645161,0.5909244,-1.283397,2.072931,1.51669,0.4136725,0,
2, 0, 0, 42.26241, 42.26241, 1155.738, 3.402823E+38, 0, 17.87623, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,5.202932,6.951222,-1.617455,0.2169525,-0.1115835,2.39566,0.5066715,0.3529976,0,
3, 0, 0, 41.39996, 41.39996, 1179.246, 3.402823E+38, 0, 13.23082, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.2461394,2.398416,-2.394629,0.1481317,3.239722,3.798958,-0.7472972,0.2917859,0,
4, 0, 0, 135.3504, 135.3504, 366.7024, 3.402823E+38, 0, 19.53332, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.3009125,2.38782,-0.5823615,0.3587499,1.655279,3.039064,-2.181378,0.2382058,0,
5, 0, 0, 137.663, 137.663, 360.5864, 3.402823E+38, 0, 24.02544, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.5465764,2.587651,-2.653946,0.130353,-3.245505,1.68055,-2.447178,0.2299281,0,
6, 0, 0, 135.9372, 135.9372, 365.1309, 3.402823E+38, 0, 20.58192, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.6037111,2.334061,-0.02786309,0.4680045,-1.304137,2.067876,-0.1556656,0.3188365,0,
7, 0, 0, 136.6667, 136.6667, 363.1962, 3.402823E+38, 0, 15.64275, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,2.032788,3.204301,-0.9422415,0.301452,2.682551,3.511178,1.61986,0.4204857,0,
8, 0, 0, 135.9891, 135.9891, 364.9925, 3.402823E+38, 0, 25.52359, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-3.073511,2.098096,2.072881,1.230824,-2.241395,1.860812,-0.6633669,0.2954342,0,
9, 0, 0, 136.2682, 136.2682, 364.2505, 3.402823E+38, 0, 16.66139, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.8229311,2.299796,-0.006508858,0.4727907,1.869092,3.13114,-0.04956147,0.3240255,0,
10, 0, 0, 136.4647, 136.4647, 363.7296, 3.402823E+38, 0, 18.99379, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.702444,2.193954,-1.694933,0.2088811,0.2588519,2.513999,1.507882,0.4130963,0,
11, 0, 0, 136.1844, 136.1844, 364.473, 3.402823E+38, 0, 18.71758, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.011441,2.273124,1.473272,0.9420293,0.733285,2.677995,-0.01474899,0.3257511,0,
12, 0, 0, 136.133, 136.133, 364.6095, 3.402823E+38, 0, 22.74301, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.219889,2.815193,0.03997971,0.4833717,-1.663539,1.983633,1.684237,0.4247965,0,
13, 0, 0, 135.2399, 135.2399, 366.9998, 3.402823E+38, 0, 16.29656, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.738147,3.046236,-1.7612,0.2022111,1.799825,3.100959,3.056515,0.5277955,0,
14, 0, 0, 136.7144, 136.7144, 363.0701, 3.402823E+38, 0, 20.20695, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.598841,2.204182,4.688276,3.416698,-0.02030038,2.424053,2.339161,0.4712859,0,
15, 0, 0, 135.0728, 135.0728, 367.4503, 3.402823E+38, 0, 19.11494, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.863576,3.110942,2.447331,1.447564,0.8362089,2.715479,-0.227663,0.3153754,0,
16, 0, 0, 135.0756, 135.0756, 367.4427, 3.402823E+38, 0, 28.532, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.3202037,2.384154,2.296639,1.356757,-2.727369,1.76864,0.6334478,0.3600296,0,
17, 0, 0, 134.1483, 134.1483, 369.9641, 3.402823E+38, 0, 11.25008, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.76226,3.058389,0.1641924,0.5127558,4.744363,4.684697,-3.464223,0.2023289,0,
18, 0, 0, 134.8944, 134.8944, 367.9328, 3.402823E+38, 0, 17.58423, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,2.280865,3.354722,-0.2112567,0.428757,2.996635,3.670655,1.141732,0.3898873,0,
19, 0, 0, 136.2064, 136.2064, 364.4144, 3.402823E+38, 0, 21.25076, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-1.895653,2.176219,-4.277957,0.05829495,0.1160944,2.467409,0.9877825,0.3805585,0,
20, 0, 0, 136.8157, 136.8157, 362.8035, 3.402823E+38, 0, 18.59055, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.102209,2.159038,2.352735,1.389986,0.7151493,2.671461,-0.5177101,0.3019118,0,
21, 0, 0, 134.6774, 134.6774, 368.5213, 3.402823E+38, 0, 23.10133, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.08643682,2.430964,1.797348,1.08968,-0.5639305,2.262123,2.362983,0.4730683,0,
22, 0, 0, 136.5463, 136.5463, 363.5139, 3.402823E+38, 0, 16.28435, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.9001847,2.288568,-3.477429,0.08673991,1.071671,2.803857,1.127156,0.3889933,0,
23, 0, 0, 132.0989, 132.0989, 375.6606, 3.402823E+38, 0, 23.68742, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.65483,2.120828,-3.429864,0.08880895,-1.385314,2.048296,-4.295221,0.1839815,0,
24, 0, 0, 132.7051, 132.7051, 373.9573, 3.402823E+38, 0, 19.99953, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.1818861,2.41121,-0.04173793,0.4649194,3.002728,3.673819,1.429074,0.4079781,0,
25, 0, 0, 135.8613, 135.8613, 365.3334, 3.402823E+38, 0, 17.34397, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.3820542,2.37263,0.3954537,0.5720147,1.773747,3.089684,-1.472491,0.2627084,0,
26, 0, 0, 130.3594, 130.3594, 380.635, 3.402823E+38, 0, 25.75941, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.173893,2.79725,2.871161,1.730134,-1.71452,1.972185,-1.946737,0.2459142,0,
27, 0, 0, 136.0833, 136.0833, 364.7417, 3.402823E+38, 0, 14.96366, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.6480846,2.617491,2.773072,1.661083,2.07579,3.223222,2.459673,0.4803688,0,
28, 0, 0, 136.1772, 136.1772, 364.492, 3.402823E+38, 0, 18.24717, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.4830605,2.5697,1.268429,0.8581922,0.3302549,2.537773,2.623065,0.4929478,0,
29, 0, 0, 130.6552, 130.6552, 379.7798, 3.402823E+38, 0, 24.26645, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.5555803,2.342086,-0.8169296,0.3203196,1.131319,2.826832,0.8778436,0.3740495,0,
30, 0, 0, 129.8216, 129.8216, 382.1999, 3.402823E+38, 0, 33.18552, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.8878072,2.693939,2.091302,1.240799,-3.025665,1.716704,-2.414014,0.2309352,0,
31, 0, 0, 130.0585, 130.0585, 381.5089, 3.402823E+38, 0, 29.25367, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.3806015,2.541866,-4.572249,0.05035852,-2.795647,1.756451,-4.092353,0.1881479,0,
32, 0, 0, 124.3816, 124.3816, 398.7827, 3.402823E+38, 0, 30.8692, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-0.09563333,2.42902,1.400736,0.9115344,-1.62345,1.992721,-0.7369379,0.2922329,0,
33, 0, 0, 130.4592, 130.4592, 380.3461, 3.402823E+38, 0, 31.29048, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.9023747,2.698871,3.160802,1.947244,-1.667174,1.982813,2.398635,0.4757478,0,
34, 0, 0, 131.0238, 131.0238, 378.7195, 3.402823E+38, 0, 20.03543, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,2.143531,3.269384,-2.300779,0.1551381,0.8603396,2.724368,3.688813,0.5824541,0,
35, 0, 0, 124.173, 124.173, 399.447, 3.402823E+38, 0, 28.82613, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.336779,2.862563,1.787247,1.084786,-1.377628,2.050136,3.201876,0.5399614,0,
36, 0, 0, 130.9998, 130.9998, 378.7885, 3.402823E+38, 0, 19.05507, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.514,2.939481,0.8699764,0.7142444,1.466949,2.960607,-0.7941301,0.2897765,0,
37, 0, 0, 126.8822, 126.8822, 390.9849, 3.402823E+38, 0, 25.55976, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-3.23233,2.090634,0.04977077,0.4856287,-0.1264381,2.391087,1.656057,0.4229039,0,
38, 0, 0, 129.3791, 129.3791, 383.4971, 3.402823E+38, 0, 23.33204, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.156235,2.154826,-1.428928,0.237888,-1.825767,1.947625,-0.397898,0.307381,0,
39, 0, 0, 123.111, 123.111, 402.8651, 3.402823E+38, 0, 27.73587, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,-2.948117,2.104416,-1.436291,0.2370346,-0.8928128,2.172233,-3.746634,0.1957047,0,
40, 0, 0, 131.5647, 131.5647, 377.1742, 3.402823E+38, 0, 21.1618, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,0.21206,2.498948,-0.9377338,0.3021117,0.2781567,2.520395,1.258274,0.3971174,0,
41, 0, 0, 133.1188, 133.1188, 372.8038, 3.402823E+38, 0, 14.09134, N/A,N/A,Basic,Basic,0.55,0.55,0.35,0.35,1.933461,3.148633,0.6981761,0.6593282,3.99632,4.225127,0.6740275,0.3623149,0,
